question,answer
What is Exploratory?,Exploratory mood
What is Soviet?,"A certain vagueness may also be caused by tactical appreciation of the fact that the present council meeting is a semipublic affair , with no fewer than six Soviet correspondents accredited ."
Who is Mr. Rusk?,"The impression has nevertheless been given during these three days , despite Mr. Rusk's personal popularity , that the United States delegation came to Oslo in a somewhat tentative and exploratory frame of mind , more ready to listen and learn than to enunciate firm policy on a global scale with detailed application to individual danger spots ."
What is United States?,"The impression has nevertheless been given during these three days , despite Mr. Rusk's personal popularity , that the United States delegation came to Oslo in a somewhat tentative and exploratory frame of mind , more ready to listen and learn than to enunciate firm policy on a global scale with detailed application to individual danger spots ."
What is Oslo?,"The impression has nevertheless been given during these three days , despite Mr. Rusk's personal popularity , that the United States delegation came to Oslo in a somewhat tentative and exploratory frame of mind , more ready to listen and learn than to enunciate firm policy on a global scale with detailed application to individual danger spots ."
What is United States?,"The Secretary of State himself , in his first speech , gave some idea of the tremendous march of events inside and outside the United States that has preoccupied the new administration in the past four months ."
What is NATO?,"But where the core of NATO is concerned , the Secretary of State has not only reiterated the United States' profound attachment to the alliance , `` cornerstone '' of its foreign policy , but has announced that five nuclear submarines will eventually be at NATO's disposal in European waters ."
What is State?,"But where the core of NATO is concerned , the Secretary of State has not only reiterated the United States' profound attachment to the alliance , `` cornerstone '' of its foreign policy , but has announced that five nuclear submarines will eventually be at NATO's disposal in European waters ."
What is United States?,"But where the core of NATO is concerned , the Secretary of State has not only reiterated the United States' profound attachment to the alliance , `` cornerstone '' of its foreign policy , but has announced that five nuclear submarines will eventually be at NATO's disposal in European waters ."
What is European?,"But where the core of NATO is concerned , the Secretary of State has not only reiterated the United States' profound attachment to the alliance , `` cornerstone '' of its foreign policy , but has announced that five nuclear submarines will eventually be at NATO's disposal in European waters ."
What is State?,"The Secretary of State has also solemnly repeated a warning to the Soviet Union that the United States will not stand for another setback in Berlin , an affirmation once again taken up by the council as a whole ."
What is Soviet Union?,"The Secretary of State has also solemnly repeated a warning to the Soviet Union that the United States will not stand for another setback in Berlin , an affirmation once again taken up by the council as a whole ."
What is United States?,"The Secretary of State has also solemnly repeated a warning to the Soviet Union that the United States will not stand for another setback in Berlin , an affirmation once again taken up by the council as a whole ."
What is Berlin?,"The Secretary of State has also solemnly repeated a warning to the Soviet Union that the United States will not stand for another setback in Berlin , an affirmation once again taken up by the council as a whole ."
Who is Conflict?,Conflict surveyed
What is NATO?,"The secretary's greatest achievement is perhaps the rekindling of NATO realization that East-West friction , wherever it take place around the globe , is in essence the general conflict between two entirely different societies , and must be treated as such without regard to geographical distance or lack of apparent connection ."
What is Organization?,"The annual spring meeting has given an impetus in three main directions : more , deeper , and more timely political consultation within the alliance , the use of the Organization for Economic Cooperation and Development ( when ratified ) as a method of coordinating aid to the underdeveloped countries , and the need for strengthening conventional forces as well as the maintenance of the nuclear deterrent ."
What is Economic Cooperation?,"The annual spring meeting has given an impetus in three main directions : more , deeper , and more timely political consultation within the alliance , the use of the Organization for Economic Cooperation and Development ( when ratified ) as a method of coordinating aid to the underdeveloped countries , and the need for strengthening conventional forces as well as the maintenance of the nuclear deterrent ."
What is Development?,"The annual spring meeting has given an impetus in three main directions : more , deeper , and more timely political consultation within the alliance , the use of the Organization for Economic Cooperation and Development ( when ratified ) as a method of coordinating aid to the underdeveloped countries , and the need for strengthening conventional forces as well as the maintenance of the nuclear deterrent ."
Who is Kennedy?,The Kennedy administration moves haltingly toward a Geneva conference on Laos just as serious debate over its foreign policy erupts for the first time .
What is Geneva?,The Kennedy administration moves haltingly toward a Geneva conference on Laos just as serious debate over its foreign policy erupts for the first time .
What is Communists?,There is little optimism here that the Communists will be any more docile at the conference table than they were in military actions on the ground in Laos .
What is Laos?,There is little optimism here that the Communists will be any more docile at the conference table than they were in military actions on the ground in Laos .
What is United States?,"The United States , State Department officials explain , now is mainly interested in setting up an international inspection system which will prevent Laos from being used as a base for Communist attacks on neighboring Thailand and South Viet Nam ."
What is State Department?,"The United States , State Department officials explain , now is mainly interested in setting up an international inspection system which will prevent Laos from being used as a base for Communist attacks on neighboring Thailand and South Viet Nam ."
Who is Laos?,"The United States , State Department officials explain , now is mainly interested in setting up an international inspection system which will prevent Laos from being used as a base for Communist attacks on neighboring Thailand and South Viet Nam ."
What is Communist?,"The United States , State Department officials explain , now is mainly interested in setting up an international inspection system which will prevent Laos from being used as a base for Communist attacks on neighboring Thailand and South Viet Nam ."
What is Thailand?,"The United States , State Department officials explain , now is mainly interested in setting up an international inspection system which will prevent Laos from being used as a base for Communist attacks on neighboring Thailand and South Viet Nam ."
What is South Viet?,"The United States , State Department officials explain , now is mainly interested in setting up an international inspection system which will prevent Laos from being used as a base for Communist attacks on neighboring Thailand and South Viet Nam ."
What is Geneva?,They count on the aid of the neutral countries attending the Geneva conference to achieve this .
What is United States?,The United States hopes that any future Lao Cabinet would not become Communist dominated .
What is Communist?,The United States hopes that any future Lao Cabinet would not become Communist dominated .
What is Laos?,"The inclination here is to accept a de facto cease-fire in Laos , rather than continue to insist on a verification of the cease-fire by the international control commission before participating in the Geneva conference ."
What is Geneva?,"The inclination here is to accept a de facto cease-fire in Laos , rather than continue to insist on a verification of the cease-fire by the international control commission before participating in the Geneva conference ."
Who is Kennedy?,This is another of the modifications of policy on Laos that the Kennedy administration has felt compelled to make .
What is Communists?,But with the months moving on -- and the immediate confrontations with the Communists showing no gain for the free world -- the question arises :
Who is Kennedy?,How effective have Kennedy administration first foreign policy decisions been in dealing with Communist aggression ? ?
What is Communist?,How effective have Kennedy administration first foreign policy decisions been in dealing with Communist aggression ? ?
Who is Richard M. Nixon?,Former Vice-President Richard M. Nixon in Detroit called for a firmer and tougher policy toward the Soviet Union .
What is Detroit?,Former Vice-President Richard M. Nixon in Detroit called for a firmer and tougher policy toward the Soviet Union .
What is Soviet Union?,Former Vice-President Richard M. Nixon in Detroit called for a firmer and tougher policy toward the Soviet Union .
Who is Kennedy?,He was critical of what he feels is President Kennedy's tendency to be too conciliatory .
What is GOP?,GOP restrained
What is Gallup?,It does not take a Gallup poll to find out that most Republicans in Congress feel this understates the situation as Republicans see it .
What is Congress?,It does not take a Gallup poll to find out that most Republicans in Congress feel this understates the situation as Republicans see it .
What is Cuba?,"They can hardly restrain themselves from raising the question of whether Republicans , if they had been in power , would have made `` amateurish and monumental blunders '' in Cuba ."
What is Republican?,One Republican senator told this correspondent that he was constantly being asked why he didn't attack the Kennedy administration on this score .
Who is Kennedy?,One Republican senator told this correspondent that he was constantly being asked why he didn't attack the Kennedy administration on this score .
Who is Thruston B. Morton?,"The Republicans some weeks ago served notice through Senator Thruston B. Morton ( R ) of Kentucky , chairman of the Republican National Committee , that the Kennedy administration would be held responsible if the outcome in Laos was a coalition government susceptible of Communist domination ."
What is Kentucky?,"The Republicans some weeks ago served notice through Senator Thruston B. Morton ( R ) of Kentucky , chairman of the Republican National Committee , that the Kennedy administration would be held responsible if the outcome in Laos was a coalition government susceptible of Communist domination ."
What is Republican National Committee?,"The Republicans some weeks ago served notice through Senator Thruston B. Morton ( R ) of Kentucky , chairman of the Republican National Committee , that the Kennedy administration would be held responsible if the outcome in Laos was a coalition government susceptible of Communist domination ."
Who is Kennedy?,"The Republicans some weeks ago served notice through Senator Thruston B. Morton ( R ) of Kentucky , chairman of the Republican National Committee , that the Kennedy administration would be held responsible if the outcome in Laos was a coalition government susceptible of Communist domination ."
What is Laos?,"The Republicans some weeks ago served notice through Senator Thruston B. Morton ( R ) of Kentucky , chairman of the Republican National Committee , that the Kennedy administration would be held responsible if the outcome in Laos was a coalition government susceptible of Communist domination ."
What is Communist?,"The Republicans some weeks ago served notice through Senator Thruston B. Morton ( R ) of Kentucky , chairman of the Republican National Committee , that the Kennedy administration would be held responsible if the outcome in Laos was a coalition government susceptible of Communist domination ."
Who is Kennedy?,"Kennedy administration policies also have been assailed now from another direction by 70 Harvard , Boston University , Brandeis , and Massachusetts Institute of Technology educators ."
What is Harvard?,"Kennedy administration policies also have been assailed now from another direction by 70 Harvard , Boston University , Brandeis , and Massachusetts Institute of Technology educators ."
What is Boston University?,"Kennedy administration policies also have been assailed now from another direction by 70 Harvard , Boston University , Brandeis , and Massachusetts Institute of Technology educators ."
Who is Brandeis?,"Kennedy administration policies also have been assailed now from another direction by 70 Harvard , Boston University , Brandeis , and Massachusetts Institute of Technology educators ."
Who is Massachusetts Institute?,"Kennedy administration policies also have been assailed now from another direction by 70 Harvard , Boston University , Brandeis , and Massachusetts Institute of Technology educators ."
What is Technology?,"Kennedy administration policies also have been assailed now from another direction by 70 Harvard , Boston University , Brandeis , and Massachusetts Institute of Technology educators ."
Who is Detente?,Detente urged
What is Cuba?,This group pleads with the administration to `` give no further support for the invasion of Cuba by exile groups '' .
What is United States?,It recommends that the United States `` seek instead to detach the Castro regime from the Communist bloc by working for a diplomatic detente and a resumption of trade relations ; ;
What is Castro?,It recommends that the United States `` seek instead to detach the Castro regime from the Communist bloc by working for a diplomatic detente and a resumption of trade relations ; ;
What is Communist?,It recommends that the United States `` seek instead to detach the Castro regime from the Communist bloc by working for a diplomatic detente and a resumption of trade relations ; ;
Who is Latin America?,and concentrate its constructive efforts on eliminating in other parts of Latin America the social conditions on which totalitarian nationalism feeds '' .
Who is Mr.?,"Mr. Nixon , for his part , would oppose intervention in Cuba without specific provocation ."
What is Nixon?,"Mr. Nixon , for his part , would oppose intervention in Cuba without specific provocation ."
What is Cuba?,"Mr. Nixon , for his part , would oppose intervention in Cuba without specific provocation ."
Who is Kennedy?,But he did recommend that President Kennedy state clearly that if Communist countries shipped any further arms to Cuba that it would not be tolerated .
What is Communist?,But he did recommend that President Kennedy state clearly that if Communist countries shipped any further arms to Cuba that it would not be tolerated .
What is Cuba?,But he did recommend that President Kennedy state clearly that if Communist countries shipped any further arms to Cuba that it would not be tolerated .
What is Cuban?,"Until the Cuban fiasco and the Communist military victories in Laos , almost any observer would have said that President Kennedy had blended a program that respected , generally , the opinions voiced both by Mr. Nixon and the professors ."
What is Communist?,"Until the Cuban fiasco and the Communist military victories in Laos , almost any observer would have said that President Kennedy had blended a program that respected , generally , the opinions voiced both by Mr. Nixon and the professors ."
What is Laos?,"Until the Cuban fiasco and the Communist military victories in Laos , almost any observer would have said that President Kennedy had blended a program that respected , generally , the opinions voiced both by Mr. Nixon and the professors ."
Who is Kennedy?,"Until the Cuban fiasco and the Communist military victories in Laos , almost any observer would have said that President Kennedy had blended a program that respected , generally , the opinions voiced both by Mr. Nixon and the professors ."
Who is Mr. Nixon?,"Until the Cuban fiasco and the Communist military victories in Laos , almost any observer would have said that President Kennedy had blended a program that respected , generally , the opinions voiced both by Mr. Nixon and the professors ."
What is Aid?,Aid plans revamped
What is Eisenhower?,"Very early in his administration he informed the Kremlin through diplomatic channels , a high official source disclosed , that the new administration would react even tougher than the Eisenhower administration would during the formative period of the administration ."
What is Laos?,"In Laos , the administration looked at the Eisenhower administration efforts to show determination by sailing a naval fleet into Southeast Asian waters as a useless gesture ."
What is Eisenhower?,"In Laos , the administration looked at the Eisenhower administration efforts to show determination by sailing a naval fleet into Southeast Asian waters as a useless gesture ."
What is Asian?,"In Laos , the administration looked at the Eisenhower administration efforts to show determination by sailing a naval fleet into Southeast Asian waters as a useless gesture ."
What is Communists?,Again and again it asked the Communists to `` freeze '' the military situation in Laos .
What is Laos?,Again and again it asked the Communists to `` freeze '' the military situation in Laos .
What is Communists?,But the Communists aided the Pathet Lao at an even faster rate .
What is Pathet Lao?,But the Communists aided the Pathet Lao at an even faster rate .
Who is Pathet Lao?,"And after several correspondents went into Pathet Lao territory and exposed the huge build-up , administration spokesmen acclaimed them for performing a `` great service '' and laid the matter before the Southeast Asia Treaty Organization ."
Who is Treaty Organization?,"And after several correspondents went into Pathet Lao territory and exposed the huge build-up , administration spokesmen acclaimed them for performing a `` great service '' and laid the matter before the Southeast Asia Treaty Organization ."
What is SEATO?,SEATO was steamed up and prepared contingency plans for coping with the military losses in Laos .
What is Laos?,SEATO was steamed up and prepared contingency plans for coping with the military losses in Laos .
What is Communists?,But the Communists never gave sufficient provocation at any one time for the United States to want to risk a limited or an all-out war over Laos .
What is United States?,But the Communists never gave sufficient provocation at any one time for the United States to want to risk a limited or an all-out war over Laos .
What is Laos?,But the Communists never gave sufficient provocation at any one time for the United States to want to risk a limited or an all-out war over Laos .
What is SEATO?,"( Some SEATO nations disagreed , however ."
Who is Laos?,"There was the further complication that the administration had very early concluded that Laos was ill suited to be an ally , unlike its more determined neighbors , Thailand and South Viet Nam ."
What is Thailand?,"There was the further complication that the administration had very early concluded that Laos was ill suited to be an ally , unlike its more determined neighbors , Thailand and South Viet Nam ."
What is South Viet?,"There was the further complication that the administration had very early concluded that Laos was ill suited to be an ally , unlike its more determined neighbors , Thailand and South Viet Nam ."
What is United States?,"The pro-Western government , which the United States had helped in a revolt against the Souvanna Phouma `` neutralist '' government , never did appear to spark much fighting spirit in the Royal Lao Army ."
What is Souvanna Phouma?,"The pro-Western government , which the United States had helped in a revolt against the Souvanna Phouma `` neutralist '' government , never did appear to spark much fighting spirit in the Royal Lao Army ."
What is Royal Lao Army?,"The pro-Western government , which the United States had helped in a revolt against the Souvanna Phouma `` neutralist '' government , never did appear to spark much fighting spirit in the Royal Lao Army ."
What is United States?,There certainly was not any more energy displayed after it was clear the United States would not back the pro-Western government to the hilt .
What is Prince?,"If the administration ever had any ideas that it could find an acceptable alternative to Prince Souvanna Phouma , whom it felt was too trusting of Communists , it gradually had to relinquish them ."
Who is Souvanna Phouma?,"If the administration ever had any ideas that it could find an acceptable alternative to Prince Souvanna Phouma , whom it felt was too trusting of Communists , it gradually had to relinquish them ."
What is Communists?,"If the administration ever had any ideas that it could find an acceptable alternative to Prince Souvanna Phouma , whom it felt was too trusting of Communists , it gradually had to relinquish them ."
What is Senator J.?,"One factor was the statement of Senator J. W. Fulbright ( D ) of Arkansas , chairman of the Senate Foreign Relations Committee ."
What is Arkansas?,"One factor was the statement of Senator J. W. Fulbright ( D ) of Arkansas , chairman of the Senate Foreign Relations Committee ."
What is Senate?,"One factor was the statement of Senator J. W. Fulbright ( D ) of Arkansas , chairman of the Senate Foreign Relations Committee ."
What is United States?,He declared on March 25 that the United States had erred a year and a half ago by `` encouraging the removal '' of Prince Souvanna .
What is Prince Souvanna?,He declared on March 25 that the United States had erred a year and a half ago by `` encouraging the removal '' of Prince Souvanna .
What is United States?,The White House is taking extraordinary steps to check the rapid growth of juvenile delinquency in the United States .
What is Citizens Advisory Council?,"In an important assertion of national leadership in this field , he has issued an executive order establishing the President's committee on Juvenile Delinquency and Crime , to be supported and assisted by a Citizens Advisory Council of recognized authorities on juvenile problems ."
What is Congress?,The President asks the support and cooperation of Congress in his efforts through the enactment of legislation to provide federal grants to states for specified efforts in combating this disturbing crime trend .
What is Health?,"The President has also called upon the Attorney General , the Secretary of Health , Education and Welfare , and the Secretary of Labor to coordinate their efforts `` in the development of a program of federal leadership to assist states and local communities in their efforts to cope with the problem ."
Who is Education?,"The President has also called upon the Attorney General , the Secretary of Health , Education and Welfare , and the Secretary of Labor to coordinate their efforts `` in the development of a program of federal leadership to assist states and local communities in their efforts to cope with the problem ."
Who is Welfare?,"The President has also called upon the Attorney General , the Secretary of Health , Education and Welfare , and the Secretary of Labor to coordinate their efforts `` in the development of a program of federal leadership to assist states and local communities in their efforts to cope with the problem ."
What is Labor?,"The President has also called upon the Attorney General , the Secretary of Health , Education and Welfare , and the Secretary of Labor to coordinate their efforts `` in the development of a program of federal leadership to assist states and local communities in their efforts to cope with the problem ."
Who is David L. Hackett?,"Simultaneously the President announced Thursday the appointment of David L. Hackett , a special assistant to the Attorney General , as executive director of the new Committee on Juvenile Delinquency and Youth Crime ."
What is Committee?,"Simultaneously the President announced Thursday the appointment of David L. Hackett , a special assistant to the Attorney General , as executive director of the new Committee on Juvenile Delinquency and Youth Crime ."
Who is Youth Crime?,"Simultaneously the President announced Thursday the appointment of David L. Hackett , a special assistant to the Attorney General , as executive director of the new Committee on Juvenile Delinquency and Youth Crime ."
What is Federal Bureau?,"Among arrests reported by the Federal Bureau of Investigation in 1959 , about half for burglary and larceny involved persons under 18 years of age ."
What is East?,"East Providence should organize its civil defense setup and begin by appointing a full-time director , Raymond H. Hawksley , the present city CD head , believes ."
What is Providence?,"East Providence should organize its civil defense setup and begin by appointing a full-time director , Raymond H. Hawksley , the present city CD head , believes ."
Who is Raymond H. Hawksley?,"East Providence should organize its civil defense setup and begin by appointing a full-time director , Raymond H. Hawksley , the present city CD head , believes ."
Who is Mr.?,Mr. Hawksley said yesterday he would be willing to go before the city council `` or anyone else locally '' to outline his proposal at the earliest possible time .
Who is Hawksley?,Mr. Hawksley said yesterday he would be willing to go before the city council `` or anyone else locally '' to outline his proposal at the earliest possible time .
What is East?,East Providence now has no civil defense program .
What is Providence?,East Providence now has no civil defense program .
Who is Mr. Hawksley?,"Mr. Hawksley , the state's general treasurer , has been a part-time CD director in the city for the last nine years ."
Who is Kennedy?,"Noting that President Kennedy has handed the Defense Department the major responsibility for the nation's civil defense program , Mr. Hawksley said the federal government would pay half the salary of a full-time local director ."
What is Defense?,"Noting that President Kennedy has handed the Defense Department the major responsibility for the nation's civil defense program , Mr. Hawksley said the federal government would pay half the salary of a full-time local director ."
Who is Mr. Hawksley?,"Noting that President Kennedy has handed the Defense Department the major responsibility for the nation's civil defense program , Mr. Hawksley said the federal government would pay half the salary of a full-time local director ."
Who is Mr.?,Mr. Hawksley said he believed there are a number of qualified city residents who would be willing to take the full-time CD job .
Who is Hawksley?,Mr. Hawksley said he believed there are a number of qualified city residents who would be willing to take the full-time CD job .
What is Fire?,"One of these men is former Fire Chief John A. Laughlin , he said ."
Who is John A. Laughlin?,"One of these men is former Fire Chief John A. Laughlin , he said ."
Who is Mr.?,Mr. Hawksley said .
Who is Hawksley?,Mr. Hawksley said .
Who is East Providence?,"One advantage that would come to the city in having a full-time director , he said , is that East Providence would become eligible to apply to the federal government for financial aid in purchasing equipment needed for a sound civil defense program ."
Who is Mr.?,"Mr. Hawksley believes that East Providence could use two more rescue trucks , similar to the CD vehicle obtained several years ago and now detailed to the Central Fire Station ."
What is Hawksley?,"Mr. Hawksley believes that East Providence could use two more rescue trucks , similar to the CD vehicle obtained several years ago and now detailed to the Central Fire Station ."
Who is East Providence?,"Mr. Hawksley believes that East Providence could use two more rescue trucks , similar to the CD vehicle obtained several years ago and now detailed to the Central Fire Station ."
What is Central Fire Station?,"Mr. Hawksley believes that East Providence could use two more rescue trucks , similar to the CD vehicle obtained several years ago and now detailed to the Central Fire Station ."
What is Riverside?,He would assign one of the rescue trucks to the Riverside section of the city and the other to the Rumford area .
What is Rumford?,He would assign one of the rescue trucks to the Riverside section of the city and the other to the Rumford area .
Who is Mr. Hawksley?,"Speaking of the present status of civil defense in the city , Mr. Hawksley said he would be willing to bet that not more than one person in a hundred would know what to do or where to go in the event of an enemy attack ."
What is Narragansett Race Track?,"The Narragansett Race Track grounds is one assembly point , he said , and a drive-in theater in Seekonk would be another ."
What is Seekonk?,"The Narragansett Race Track grounds is one assembly point , he said , and a drive-in theater in Seekonk would be another ."
What is Riverside?,Riverside residents would go to the Seekonk assembly point .
What is Seekonk?,Riverside residents would go to the Seekonk assembly point .
Who is Mr.?,Mr. Hawksley said he was not critical of city residents for not knowing what to do or where to assemble in case of an air attack .
Who is Hawksley?,Mr. Hawksley said he was not critical of city residents for not knowing what to do or where to assemble in case of an air attack .
Who is Mr. Hawksley?,"If the city council fails to consider appointment of a full-time CD director , Mr. Hawksley said , then he plans to call a meeting early in September so that a civil defense organization will be developed locally ."
Who is Rhode?,Rhode Island is going to examine its Sunday sales law with possible revisions in mind .
What is Island?,Rhode Island is going to examine its Sunday sales law with possible revisions in mind .
Who is Notte?,Governor Notte said last night he plans to name a committee to make the study and come up with recommendations for possible changes in time for the next session of the General Assembly .
What is General Assembly?,Governor Notte said last night he plans to name a committee to make the study and come up with recommendations for possible changes in time for the next session of the General Assembly .
Who is Miss Mary?,"The governor's move into the so-called `` blue law '' controversy came in the form of a letter to Miss Mary R. Grant , deputy city clerk of Central Falls ."
What is Central Falls?,"The governor's move into the so-called `` blue law '' controversy came in the form of a letter to Miss Mary R. Grant , deputy city clerk of Central Falls ."
Who is Mr.?,Mr. Notte was responding to a resolution adopted by the Central Falls City Council on July 10 and sent to the state house by Miss Grant .
Who is Notte?,Mr. Notte was responding to a resolution adopted by the Central Falls City Council on July 10 and sent to the state house by Miss Grant .
What is Central Falls City Council?,Mr. Notte was responding to a resolution adopted by the Central Falls City Council on July 10 and sent to the state house by Miss Grant .
Who is Miss Grant?,Mr. Notte was responding to a resolution adopted by the Central Falls City Council on July 10 and sent to the state house by Miss Grant .
What is Legislative Council?,"While the city council suggested that the Legislative Council might perform the review , Mr. Notte said that instead he will take up the matter with Atty. Gen. J. Joseph Nugent to get `` the benefit of his views '' ."
Who is Mr. Notte?,"While the city council suggested that the Legislative Council might perform the review , Mr. Notte said that instead he will take up the matter with Atty. Gen. J. Joseph Nugent to get `` the benefit of his views '' ."
Who is Atty?,"While the city council suggested that the Legislative Council might perform the review , Mr. Notte said that instead he will take up the matter with Atty. Gen. J. Joseph Nugent to get `` the benefit of his views '' ."
Who is Joseph Nugent?,"While the city council suggested that the Legislative Council might perform the review , Mr. Notte said that instead he will take up the matter with Atty. Gen. J. Joseph Nugent to get `` the benefit of his views '' ."
Who is Mr. Nugent?,"He will then appoint the study committee with Mr. Nugent's cooperation , the governor said ."
Who is Mr. Notte?,"`` I would expect the proposed committee to hold public hearings '' , Mr. Notte said , `` to obtain the views of the general public and religious , labor and special-interest groups affected by these laws '' ."
Who is Miss Grant?,The governor wrote Miss Grant that he has been concerned for some time `` with the continuous problem which confronts our local and state law enforcement officers as a result of the laws regulating Sunday sales '' .
What is Massachusetts?,There has been more activity across the state line in Massachusetts than in Rhode Island in recent weeks toward enforcement of the Sunday sales laws .
What is Rhode Island?,There has been more activity across the state line in Massachusetts than in Rhode Island in recent weeks toward enforcement of the Sunday sales laws .
What is Bay State?,"The statutes , similar in both the Bay State and Rhode Island and dating back in some instances to colonial times , severely limit the types of merchandise that may be sold on the Sabbath ."
Who is Rhode Island?,"The statutes , similar in both the Bay State and Rhode Island and dating back in some instances to colonial times , severely limit the types of merchandise that may be sold on the Sabbath ."
What is Sabbath?,"The statutes , similar in both the Bay State and Rhode Island and dating back in some instances to colonial times , severely limit the types of merchandise that may be sold on the Sabbath ."
What is Central Falls City Council?,The Central Falls City Council expressed concern especially that more foods be placed on the eligible list and that neighborhood grocery and variety stores be allowed to do business on Sunday .
What is Democratic?,"Liberals and conservatives in both parties -- Democratic and Republican -- should divorce themselves and form two independent parties , George H. Reama , nationally known labor-management expert , said here yesterday ."
What is Republican?,"Liberals and conservatives in both parties -- Democratic and Republican -- should divorce themselves and form two independent parties , George H. Reama , nationally known labor-management expert , said here yesterday ."
Who is George H. Reama?,"Liberals and conservatives in both parties -- Democratic and Republican -- should divorce themselves and form two independent parties , George H. Reama , nationally known labor-management expert , said here yesterday ."
Who is Mr.?,Mr. Reama told the Rotary Club of Providence at its luncheon at the Sheraton-Biltmore Hotel that about half of the people in the country want the `` welfare '' type of government and the other half want a free enterprise system .
Who is Reama?,Mr. Reama told the Rotary Club of Providence at its luncheon at the Sheraton-Biltmore Hotel that about half of the people in the country want the `` welfare '' type of government and the other half want a free enterprise system .
What is Rotary Club?,Mr. Reama told the Rotary Club of Providence at its luncheon at the Sheraton-Biltmore Hotel that about half of the people in the country want the `` welfare '' type of government and the other half want a free enterprise system .
What is Socialist Party?,He said he was `` confessing that I was a member of the Socialist Party in 1910 '' .
What is Socialist Party?,Some of my fellow workers were grooming me for an office in the Socialist Party .
What is Socialist?,The lawyer with whom I studied law steered me off the Socialist track .
What is Socialist Party?,"He suggested that without the Socialist Party ever gaining a national victory , most of its original program has come to pass under both major parties ."
Who is Mr.?,"Mr. Reama , who retired as vice president of the American Screw Co. in 1955 said , `` Both parties in the last election told us that we need a five per cent growth in the gross national product -- but neither told us how to achieve it '' ."
What is Reama?,"Mr. Reama , who retired as vice president of the American Screw Co. in 1955 said , `` Both parties in the last election told us that we need a five per cent growth in the gross national product -- but neither told us how to achieve it '' ."
What is American Screw?,"Mr. Reama , who retired as vice president of the American Screw Co. in 1955 said , `` Both parties in the last election told us that we need a five per cent growth in the gross national product -- but neither told us how to achieve it '' ."
Who is Mr. Reama?,"Indicating the way in which he has turned his back on his 1910 philosophy , Mr. Reama said : `` A Socialist is a person who believes in dividing everything he does not own '' ."
What is Socialist?,"Indicating the way in which he has turned his back on his 1910 philosophy , Mr. Reama said : `` A Socialist is a person who believes in dividing everything he does not own '' ."
Who is Mr.?,"Mr. Reama , far from really being retired , is engaged in industrial relations counseling ."
What is Reama?,"Mr. Reama , far from really being retired , is engaged in industrial relations counseling ."
What is Johnston?,"A petition bearing the signatures of more than 1,700 Johnston taxpayers was presented to the town council last night as what is hoped will be the first step in obtaining a home rule charter for the town ."
Who is William?,"William A. Martinelli , chairman of the Citizens Group of Johnston , transferred the petitions from his left hand to his right hand after the council voted to accept them at the suggestion of Council President Raymond Fortin Sr. ."
What is Citizens Group?,"William A. Martinelli , chairman of the Citizens Group of Johnston , transferred the petitions from his left hand to his right hand after the council voted to accept them at the suggestion of Council President Raymond Fortin Sr. ."
What is Johnston?,"William A. Martinelli , chairman of the Citizens Group of Johnston , transferred the petitions from his left hand to his right hand after the council voted to accept them at the suggestion of Council President Raymond Fortin Sr. ."
What is Council?,"William A. Martinelli , chairman of the Citizens Group of Johnston , transferred the petitions from his left hand to his right hand after the council voted to accept them at the suggestion of Council President Raymond Fortin Sr. ."
Who is Raymond Fortin?,"William A. Martinelli , chairman of the Citizens Group of Johnston , transferred the petitions from his left hand to his right hand after the council voted to accept them at the suggestion of Council President Raymond Fortin Sr. ."
Who is Mr. Martinelli?,The law which governs home rule charter petitions states that they must be referred to the chairman of the board of canvassers for verification of the signatures within 10 days and Mr. Martinelli happens to hold that post .
Who is Mr.?,Mr. Martinelli explained that there should be more than enough signatures to assure the scheduling of a vote on the home rule charter and possible election of a nine member charter commission within 70 days .
Who is Martinelli?,Mr. Martinelli explained that there should be more than enough signatures to assure the scheduling of a vote on the home rule charter and possible election of a nine member charter commission within 70 days .
Who is Mr. Martinelli?,"A difference of opinion arose between Mr. Martinelli and John P. Bourcier , town solicitor , over the exact manner in which the vote is handled ."
Who is John P. Bourcier?,"A difference of opinion arose between Mr. Martinelli and John P. Bourcier , town solicitor , over the exact manner in which the vote is handled ."
Who is Mr.?,"Mr. Martinelli has , in recent weeks , been of the opinion that a special town meeting would be called for the vote , while Mr. Bourcier said that a special election might be called instead ."
What is Martinelli?,"Mr. Martinelli has , in recent weeks , been of the opinion that a special town meeting would be called for the vote , while Mr. Bourcier said that a special election might be called instead ."
Who is Mr. Bourcier?,"Mr. Martinelli has , in recent weeks , been of the opinion that a special town meeting would be called for the vote , while Mr. Bourcier said that a special election might be called instead ."
Who is Mr.?,Mr. Bourcier said that he had consulted several Superior Court justices in the last week and received opinions favoring both procedures .
Who is Bourcier?,Mr. Bourcier said that he had consulted several Superior Court justices in the last week and received opinions favoring both procedures .
What is Superior Court?,Mr. Bourcier said that he had consulted several Superior Court justices in the last week and received opinions favoring both procedures .
Who is Mr. Martinelli?,He assured Mr. Martinelli and the council that he would study the correct method and report back to the council as soon as possible .
Who is Mr.?,Mr. Martinelli said yesterday that the Citizens Group of Johnston will meet again July 24 to plan further strategy in the charter movement .
Who is Martinelli?,Mr. Martinelli said yesterday that the Citizens Group of Johnston will meet again July 24 to plan further strategy in the charter movement .
What is Citizens Group?,Mr. Martinelli said yesterday that the Citizens Group of Johnston will meet again July 24 to plan further strategy in the charter movement .
